research_phase,window_id,topic_instance_id,adjudication_status,human_decision,effective_name,effective_description,effective_path_l1,effective_path_l2,effective_path_l3,effective_taxonomy_path,qualification,effective_message_count,message_share,evidence_message_count,evidence_message_ids,source_name,source_taxonomy_path
A,S1000-0022,STI-a6493cfa287394d573e0,accepted,agree,盘中行情判断与个股操作交流,群成员讨论盘中指数走势、仓位策略及多只股票的交易和持仓判断。,金融与公共信息,金融与公共议题,金融市场与交易,金融与公共信息 > 金融与公共议题 > 金融市场与交易,standard,93,0.93,93,1096649069|1096649071|1096649073|1096649075|1096649077|1096649079|1096649081|1096649083|1096649087|1096649089|1096649091|1096649093|1096649095|1096649097|1096649099|1096649101|1096649103|1096649105|1096649107|1096649109|1096649111|1096649113|1096649117|1096649119|1096649121|1096649123|1096649125|1096649127|1096649129|1096649131|1096649133|1096649135|1096649137|1096649141|1096649143|1096649145|1096649147|1096649149|1096649151|1096649155|1096649157|1096649159|1096649161|1096649163|1096649165|1096649167|1096649169|1096649171|1096649173|1096649175|1096649177|1096649179|1096649181|1099871647|1099871649|1099871651|1099871653|1099871655|1099871657|1099871659|1099871661|1099871663|1099871665|1099871667|1099871669|1099871671|1099871673|1099871675|1099871677|1099871679|1099871681|1099871683|1099871685|1099871687|1099871689|1099871691|1099871693|1099871695|1099871697|1099871699|1099871701|1099871703|1099871705|1099871707|1099871709|1099871711|1099871713|1099871715|1099871717|1099871719|1099871721|1099871723|1099871725,盘中行情判断与个股操作交流,金融与公共信息 > 金融与公共议题 > 金融市场与交易
A,S1000-0023,STI-a41f9e2b4e5dadf13fb1,accepted,agree,鬼灭之刃原创角色设定与互动扮演,成员协商鬼灭之刃原创角色的世界观、人物关系和背景，并开始进行角色互动。,娱乐与创作,创作与角色文化,角色扮演与虚构互动,娱乐与创作 > 创作与角色文化 > 角色扮演与虚构互动,standard,85,0.85,85,1094069729|1094069731|1094069733|1094069735|1094069737|1094069739|1094069747|1094069749|1094069751|1094069755|1094069757|1094069765|1094069767|1094069769|1094069771|1094069773|1094069775|1094069777|1094069781|1094069783|1094069789|1094069791|1094069793|1094069795|1094069797|1094069799|1094069801|1094069803|1094069805|1094069807|1094069809|1094069811|1094069815|1094069817|1094069819|1094069821|1094069823|1094069825|1094069827|1094069829|1094069831|1094069833|1094069835|1094069837|1094069839|1094069841|1094069843|1094069849|1094069851|1094069853|1094069855|1094069857|1094069859|1094069861|1094069863|1094069865|1094069867|1094069869|1094069871|1094069873|1094069875|1094069877|1094069879|1094069881|1094069883|1094069885|1094069887|1094069889|1094069891|1094069893|1094069895|1094069897|1094069899|1094069901|1094069903|1094069905|1094069907|1094069909|1094069911|1094069913|1094069915|1094069917|1094069919|1094069921|1094069923,鬼灭之刃原创角色设定与互动扮演,娱乐与创作 > 创作与角色文化 > 角色扮演与虚构互动
A,S1000-0024,STI-7317918b7211cfdb64fb,accepted,agree,新生首课通知与准备要求,助教多次通知教师新生首课时间，并提示课前准备、家长沟通和课后反馈要求。,课程运营与服务,课程服务管理,课程沟通与衔接,课程运营与服务 > 课程服务管理 > 课程沟通与衔接,standard,11,0.11,11,1080621467|1084107381|1087900139|1088981893|1089981701|1093882085|1095193293|1096460067|1097571349|1098533641|1103670365,新生首课通知与准备要求,课程运营与服务 > 课程服务管理 > 课程沟通与衔接
A,S1000-0024,STI-97c3d224af0c4fcda972,accepted,agree,九月可预约时段开放与核对,群内通知教师开放九月时段、保持固定周排班并在统一预约后核对课程表。,,,,,short_candidate,4,0.04,4,1093882087|1093882089|1093882093|1093882095,九月可预约时段开放与核对,
A,S1000-0024,STI-9ef16a5c9a0d794249aa,accepted,agree,学生教材与授课内容确认,教师与助教确认多名学生应使用的教材、页码及授课内容。,教学与课程内容,教学材料与实施,教材与课程进度,教学与课程内容 > 教学材料与实施 > 教材与课程进度,standard,20,0.2,20,1082814075|1082814077|1084107381|1085390321|1085390323|1085390325|1085390327|1086651467|1086651469|1096460071|1096460073|1096460075|1096460077|1096460079|1102327053|1102327055|1103670363|1103670367|1103670369|1104985769,学生教材与授课内容确认,教学与课程内容 > 教学材料与实施 > 教材与课程进度
A,S1000-0024,STI-b64b20b437a6910de0d1,accepted,agree,授课设备与网络故障处理,教师与助教处理停电、网络不稳和摄像头异常，并协调取消、恢复及补足课程时间。,数字平台与技术,数字技术与访问,连接与设备故障,数字平台与技术 > 数字技术与访问 > 连接与设备故障,standard,30,0.3,30,1080621469|1080621471|1080621473|1080621475|1080621477|1080621479|1080621481|1080621483|1080621485|1080621487|1081604179|1081604181|1081604183|1081604185|1081604187|1081604189|1081604191|1081604193|1081604195|1081604197|1081604199|1081604201|1081604203|1081604205|1086651481|1095193297|1095193299|1098533645|1098533647|1098533649,授课设备与网络故障处理,数字平台与技术 > 数字技术与访问 > 连接与设备故障
A,S1000-0024,STI-d17548a5f40950864cbc,accepted,agree,学生迟到缺席与家长联系,教师报告多名学生迟到或缺席，助教协调联系家长并说明处理方式。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,28,0.28,28,1084107383|1084107385|1084107387|1084107389|1084107391|1084107393|1084107395|1084107397|1085390329|1085390331|1086651473|1086651475|1086651477|1086651479|1088981897|1088981899|1088981901|1088981903|1088981905|1088981907|1097571351|1097571353|1101017059|1101017061|1102327057|1102327059|1102327061|1103670371,学生迟到缺席与家长联系,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0025,STI-0df67a4f4bc26002f5ed,accepted,agree,家长好评链接与模板转发,教师请求行政向同意写好评的家长转发评价链接和模板。,,,,,short_candidate,2,0.02,2,1080377765|1080377767,家长好评链接与模板转发,
A,S1000-0025,STI-a3ad2e88f34cc08274b4,accepted,agree,课程时间调整与续课排期,教师与行政协调多名学生的调课、补课、续课、试听课和考试前课程安排。,课程运营与服务,课程排期与出勤,课程变更与补课,课程运营与服务 > 课程排期与出勤 > 课程变更与补课,standard,59,0.59,59,1083799087|1083799089|1083799091|1083799093|1083799095|1083799097|1083799099|1083799101|1083799103|1083799105|1083799107|1083799109|1085080475|1085080477|1085080479|1085080481|1085080483|1085080503|1086370375|1086370377|1086370379|1086370381|1086370383|1086370385|1086370387|1086370389|1086370391|1086370393|1086370395|1086370397|1086370399|1087620129|1087620131|1087620133|1087620141|1087620143|1087620145|1087620147|1087620149|1088771087|1088771089|1088771091|1088771093|1088771095|1088771097|1088771099|1088771101|1088771103|1088771105|1088771107|1088771109|1088771111|1088771113|1088771115|1088771117|1088771119|1088771121|1088771123|1088771125,课程时间调整与续课排期,课程运营与服务 > 课程排期与出勤 > 课程变更与补课
A,S1000-0025,STI-b544dae5a7a22b92b567,accepted,agree,学生课后学习反馈与家长转发,教师整理并请求转发多名学生的课后学习反馈、复习重点和作业要求。,学习与学业内容,学习任务与评价,学习表现与反馈,学习与学业内容 > 学习任务与评价 > 学习表现与反馈,standard,29,0.29,29,1081390731|1081390733|1081390735|1081390737|1082507785|1082507787|1082507789|1085080491|1085080493|1085080495|1085080497|1085080499|1085080501|1086370373|1087620135|1087620137|1087620139|1087620151|1087620153|1087620155|1088771085|1088771127|1088771129|1089796057|1090983127|1090983129|1090983131|1090983133|1090983135,学生课后学习反馈与家长转发,学习与学业内容 > 学习任务与评价 > 学习表现与反馈
A,S1000-0025,STI-c7f3286c247a9e50b7d7,accepted,agree,若芯PSLE口试备考安排,家长询问若芯PSLE口试前的复习重点，教师说明将强化题型、答题结构和常见主题练习。,,,,,short_candidate,3,0.03,3,1085080485|1085080487|1085080489,若芯PSLE口试备考安排,
A,S1000-0025,STI-d5c53c11473782301cfe,accepted,agree,课堂麦克风与视频异常处理,教师上课时学生音视频异常，行政协助联系家长，之后确认问题已调试处理。,数字平台与技术,数字技术与访问,连接与设备故障,数字平台与技术 > 数字技术与访问 > 连接与设备故障,standard,5,0.05,5,1082507775|1082507777|1082507779|1082507781|1082507783,课堂麦克风与视频异常处理,数字平台与技术 > 数字技术与访问 > 连接与设备故障
A,S1000-0026,STI-1e25692da40c07bdf6a3,accepted,agree,无法进入课程教室,教师无法看到并进入晚间课程教室，班主任确认存在ClassIn问题。,数字平台与技术,数字技术与访问,连接与设备故障,数字平台与技术 > 数字技术与访问 > 连接与设备故障,standard,6,0.06,6,1086500715|1086500717|1086500719|1086500723|1086500725|1086500727,无法进入课程教室,数字平台与技术 > 数字技术与访问 > 连接与设备故障
A,S1000-0026,STI-4eb20542a491691cdd74,accepted,agree,工作日课表调整与周四请假,教师与班主任反复确认周中可授课时段、关闭日期及本周四请假。,课程运营与服务,课程排期与出勤,可用时段与排班,课程运营与服务 > 课程排期与出勤 > 可用时段与排班,standard,26,0.26,26,1081480101|1081480103|1091111921|1091111927|1091111929|1091111931|1091111937|1091111939|1091111941|1091111943|1091111945|1091111949|1091111951|1091111953|1091111955|1091111957|1091111969|1091111971|1091111975|1091111981|1091111983|1091111985|1091111987|1091111989|1091111991|1091111997,工作日课表调整与周四请假,课程运营与服务 > 课程排期与出勤 > 可用时段与排班
A,S1000-0026,STI-636f796c76c3d8905fff,accepted,agree,课件使用与获取,群内处理课件使用错误，并沟通获取临时上课所需的课件。,教学与课程内容,教学材料与实施,教学资料与课件,教学与课程内容 > 教学材料与实施 > 教学资料与课件,standard,6,0.06,6,1085222757|1085222759|1086500703|1086500705|1086500707|1086500709,课件使用与获取,教学与课程内容 > 教学材料与实施 > 教学资料与课件
A,S1000-0026,STI-9b98f8bf8b20abc8e9e6,partially_corrected_unresolved,problem,使用AI制作个性化课件,班主任建议教师基于学生材料或绘本使用AI制作个性化课件。,教学与课程内容,教学材料与实施,教学资料与课件,教学与课程内容 > 教学材料与实施 > 教学资料与课件,short_candidate,4,0.04,4,1087748211|1087748213|1087748215|1087748217,使用AI制作个性化课件,
A,S1000-0026,STI-ac77043f3bcd277a9015,accepted,agree,课程缺席、迟到与临时预约,群内沟通教师多次未及时上课、迟到及未留意临时预约课程的情况。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,21,0.21,21,1080480115|1080480117|1080480121|1080480123|1080480127|1080480129|1081480105|1081480107|1081480109|1081480111|1081480113|1081480115|1081480117|1088867883|1088867887|1088867889|1088867891|1088867893|1088867895|1088867897|1088867901,课程缺席、迟到与临时预约,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0027,STI-184e3e3a60636da85baa,accepted,agree,Coco课程课件缺失与教材变更,教师反馈Coco课程未显示课件，后续获知20:30课程学生已更换教材。,教学与课程内容,教学材料与实施,教材与课程进度,教学与课程内容 > 教学材料与实施 > 教材与课程进度,standard,8,0.08,8,1112556789|1112556791|1112556793|1112556795|1112556797|1112556799|1112556807|1112556809,Coco课程课件缺失与教材变更,教学与课程内容 > 教学材料与实施 > 教材与课程进度
A,S1000-0027,STI-5a97d1aedb0d9c5816dc,accepted,agree,停电导致课程缺席,教师说明因停电未能按时上课，已与学生重新约课并致歉。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,12,0.12,12,1092624543|1092624545|1092624547|1092624549|1092624551|1092624553|1092624555|1092624557|1092624559|1092624561|1092624563|1092624565,停电导致课程缺席,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0027,STI-5d328780b49940239117,accepted,agree,负面评价的删除与跟进,教师持续请求删除yuyu留下的负面评价，班主任说明评价不能删除并称已请客服联系。,教学与课程内容,教学反馈与记录,教学反馈与质量,教学与课程内容 > 教学反馈与记录 > 教学反馈与质量,standard,34,0.34,34,1106174713|1106174715|1108530771|1108530773|1108530775|1108530777|1108530779|1108530781|1108530783|1109830237|1109830239|1109830241|1109830243|1109830245|1109830247|1109830249|1109830251|1109830253|1109830255|1109830257|1109830259|1109830261|1109830265|1109830267|1109830269|1111157793|1111157795|1111157797|1111157799|1111157801|1112556801|1112556803|1112556805|1112556811,负面评价的删除与跟进,教学与课程内容 > 教学反馈与记录 > 教学反馈与质量
A,S1000-0027,STI-5f413ec2e37fad749e71,accepted,agree,学生离开教室后的课程处理,教师在学生离开教室后询问处理方式及课酬，获告知留在教室且课程未取消即可。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,8,0.08,8,1093942175|1093942177|1093942179|1093942181|1093942183|1093942185|1093942187|1093942189,学生离开教室后的课程处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0027,STI-76ffa62eb36f16a1413a,accepted,agree,学生课程时间改约,教师请求调整yuyu当日课程时间，最终确认课程已安排在20:30。,课程运营与服务,课程排期与出勤,课程变更与补课,课程运营与服务 > 课程排期与出勤 > 课程变更与补课,standard,7,0.07,7,1103717037|1103717039|1103717041|1103717043|1103717045|1103717047|1103717049,学生课程时间改约,课程运营与服务 > 课程排期与出勤 > 课程变更与补课
A,S1000-0027,STI-783a199447c502ec1b83,accepted,agree,工作群沟通与请假规则,班主任通知课程问题和请假应在工作群沟通，请假须至少提前3小时。,课程运营与服务,课程服务管理,课程服务与行政,课程运营与服务 > 课程服务管理 > 课程服务与行政,special_business,1,0.01,1,1084241561,工作群沟通与请假规则,课程运营与服务 > 课程服务管理 > 课程服务与行政
A,S1000-0027,STI-7fc056c57f260822f985,accepted,agree,周五课程取消请求,教师请求因周五休息取消Apple的课程。,,,,,short_candidate,2,0.02,2,1109830233|1109830235,周五课程取消请求,
A,S1000-0027,STI-f1531db81484de34cbcb,accepted,agree,网络卡顿与课程退款处理,群内沟通课程掉线和卡顿，涉及补课、取消课程及学生退款申请。,课程运营与服务,课程服务管理,课程费用与薪酬,课程运营与服务 > 课程服务管理 > 课程费用与薪酬,standard,22,0.22,22,1092624567|1092624569|1093942191|1093942193|1093942195|1093942197|1095242391|1095242393|1103717051|1103717053|1103717055|1103717057|1103717059|1103717061|1103717063|1103717065|1103717067|1103717069|1103717071|1103717073|1103717075|1103717077,网络卡顿与课程退款处理,课程运营与服务 > 课程服务管理 > 课程费用与薪酬
A,S1000-0028,STI-8200fd471b6c91771d2b,accepted,agree,游戏更新与共同游玩安排,教师因游戏更新未能陪玩，学生随后分享无畏契约对局并提醒一起玩蛋仔派对。,娱乐与创作,娱乐作品与活动,电子游戏与游玩,娱乐与创作 > 娱乐作品与活动 > 电子游戏与游玩,standard,13,0.13,13,1086403021|1086403025|1086403027|1086403029|1087654123|1087654125|1087654127|1087654129|1087654131|1087654133|1087654135|1087654137|1087654139,游戏更新与共同游玩安排,娱乐与创作 > 娱乐作品与活动 > 电子游戏与游玩
A,S1000-0028,STI-a2477cb89fe59c8ff98f,accepted,agree,提前进入教室上课的时间设置,学生希望将进入教室时间调整至11:30以便上课，教师回复无法调整。,课程运营与服务,在线课程运行,在线教室与课程接入,课程运营与服务 > 在线课程运行 > 在线教室与课程接入,standard,9,0.09,9,1085114509|1085114511|1085114513|1085114515|1085114517|1085114519|1085114521|1085114523|1085114525,提前进入教室上课的时间设置,课程运营与服务 > 在线课程运行 > 在线教室与课程接入
A,S1000-0028,STI-ae54d04719092288ce48,accepted,agree,修改班级昵称请求,学生请求将班级昵称改为“超级无敌可爱的咩咩班级”。,,,,,short_candidate,1,0.01,1,1085114589,修改班级昵称请求,
A,S1000-0028,STI-f38c18bda1d8776ea1e5,accepted,agree,作业错题与完成情况核对,师生核对作业错题、题目解法、作业范围及各部分作业的完成情况。,学习与学业内容,学习任务与评价,作业与练习,学习与学业内容 > 学习任务与评价 > 作业与练习,standard,28,0.28,28,1083831927|1083831929|1083831933|1083831935|1083831939|1083831941|1083831943|1083831945|1083831949|1083831951|1083831953|1083831965|1083831973|1085114503|1085114545|1085114547|1085114549|1085114551|1085114553|1085114557|1085114561|1085114563|1085114567|1085114569|1085114571|1085114573|1085114577|1085114579,作业错题与完成情况核对,学习与学业内容 > 学习任务与评价 > 作业与练习
A,S1000-0029,STI-3bd1bcd36620fa89d3b2,accepted,agree,临时教室学习安排,两人商量在临时教室一起学习，协商下午时间、开教室人选及可上课时长。,课程运营与服务,在线课程运行,在线教室与课程接入,课程运营与服务 > 在线课程运行 > 在线教室与课程接入,standard,21,0.21,21,1090253239|1090253241|1090253243|1090253245|1090253249|1090253253|1090253255|1090253257|1091584561|1091584563|1091584565|1091584567|1091584569|1091584581|1091584583|1091584585|1091584587|1091584589|1091584593|1091584595|1092907557,临时教室学习安排,课程运营与服务 > 在线课程运行 > 在线教室与课程接入
A,S1000-0029,STI-ac9bcecfed7c62f32607,accepted,agree,熟人分手消息讨论,两人讨论熟人删除相关动态及已分手的消息。,人际关系与社交,人际关系与身份,恋爱与亲密关系,人际关系与社交 > 人际关系与身份 > 恋爱与亲密关系,standard,11,0.11,11,1091584601|1091584603|1091584605|1091584607|1091584609|1091584611|1091584613|1091584615|1091584617|1091584619|1091584621,熟人分手消息讨论,人际关系与社交 > 人际关系与身份 > 恋爱与亲密关系
A,S1000-0029,STI-acd8b06ecdc1449faa6d,accepted,agree,剧集播出与人物关系讨论,两人讨论剧集可能的播出时间、演员合作消息及相关人物关系内容。,娱乐与创作,娱乐作品与活动,影视动漫与文学作品,娱乐与创作 > 娱乐作品与活动 > 影视动漫与文学作品,standard,21,0.21,21,1084388053|1084388055|1084388059|1084388061|1086946873|1088182499|1088182501|1088182503|1090253187|1090253191|1090253193|1090253195|1090253209|1090253219|1090253223|1090253227|1090253229|1090253231|1092907551|1092907553|1092907555,剧集播出与人物关系讨论,娱乐与创作 > 娱乐作品与活动 > 影视动漫与文学作品
A,S1000-0029,STI-d8be00863867d3a29cf7,accepted,agree,ClassIn消息提醒不显示,用户反馈ClassIn接收消息时不会显示提醒。,,,,,short_candidate,2,0.02,2,1091584625|1091584627,ClassIn消息提醒不显示,
A,S1000-0030,STI-0663997e35f3a5915231,accepted,agree,停电导致缺席与课程取消,教师称当地停电导致未能上课，群内质询未提前通知并取消当日后续课程。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,11,0.11,11,1083971691|1083971693|1083971695|1083971697|1083971699|1083971701|1083971703|1083971705|1083971707|1083971709|1083971711,停电导致缺席与课程取消,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0030,STI-3c771976dc6bff7702bf,accepted,agree,授课课表与高峰时段安排,教师提交日常授课时段，群内协调晚间高峰时段并提醒提交9月至12月课表。,课程运营与服务,课程排期与出勤,可用时段与排班,课程运营与服务 > 课程排期与出勤 > 可用时段与排班,standard,20,0.2,20,1080512061|1080512063|1080512065|1080512067|1080512069|1082680889|1082680891|1082680893|1082680895|1082680897|1082680899|1082680901|1082680903|1082680905|1082680907|1082680909|1082680911|1083971689|1089903445|1089903447,授课课表与高峰时段安排,课程运营与服务 > 课程排期与出勤 > 可用时段与排班
A,S1000-0030,STI-81f8d64ad4c44cec5b86,accepted,agree,更换GCash收款账户,教师请求更换GCash收款账户并提供新的账户号码。,,,,,short_candidate,3,0.03,3,1080512071|1080512073|1080512075,更换GCash收款账户,
A,S1000-0030,STI-e1ffeb2915b6e19331c6,accepted,agree,薪资截图与延迟发放查询,教师反复询问薪资及截图，群内说明课时不足和请假、缺席可能导致薪资延后发放。,课程运营与服务,课程服务管理,课程费用与薪酬,课程运营与服务 > 课程服务管理 > 课程费用与薪酬,standard,34,0.34,34,1087781261|1087781263|1087781265|1087781267|1087781269|1096362755|1096362761|1096362763|1096362765|1096362767|1096362769|1096362771|1096362773|1096362779|1096362781|1096362783|1096362785|1096362787|1096362789|1096362791|1096362793|1096362795|1096362801|1096362803|1096362805|1096362807|1096362809|1096362811|1096362813|1096362815|1096362817|1096362819|1096362821|1096362823,薪资截图与延迟发放查询,课程运营与服务 > 课程服务管理 > 课程费用与薪酬
A,S1000-0030,STI-e213dd5cea8343dab374,accepted,agree,多次课程缺席与授课安排影响,群内多次沟通教师缺席或迟到课程，以及这对学生预约和课程分配的影响。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,32,0.32,32,1087781271|1091149167|1091149169|1091149171|1093779245|1093779247|1095081883|1095081885|1095081887|1095081889|1095081891|1095081893|1095081895|1095081897|1095081899|1095081901|1096362757|1096362759|1096362775|1096362777|1096362797|1096362799|1096362825|1096362827|1096362829|1096362831|1096362833|1096362835|1096362837|1096362839|1096362841|1096362843,多次课程缺席与授课安排影响,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0031,STI-06a54591fe2d37be8946,accepted,agree,教师可授课时段确认,双方确认周一至周六的可授课时段，并讨论晚间时段安排。,课程运营与服务,课程排期与出勤,可用时段与排班,课程运营与服务 > 课程排期与出勤 > 可用时段与排班,standard,9,0.09,9,1091431819|1091431823|1091431827|1091431829|1091431831|1091431833|1091431835|1091431837|1091431839,教师可授课时段确认,课程运营与服务 > 课程排期与出勤 > 可用时段与排班
A,S1000-0031,STI-38a531e08d073db8ea96,accepted,agree,教师工作规则与资料提交,群内说明教师工作规则，并要求提供可授课时间、熟悉教材和宣传照片。,,,,,short_candidate,3,0.03,3,1091431813|1091431815|1091431817,教师工作规则与资料提交,
A,S1000-0031,STI-4fa6469010c6c02c05bd,accepted,agree,VooV会议室锁定导致学生无法进入,学生无法进入VooV会议室，群内排查锁定和入会审批设置并指导教师修改。,课程运营与服务,在线课程运行,在线教室与课程接入,课程运营与服务 > 在线课程运行 > 在线教室与课程接入,standard,48,0.48,48,1099830667|1099830669|1099830671|1099830673|1099830675|1099830677|1099830679|1099830681|1099830683|1099830685|1099830687|1099830689|1099830691|1099830693|1099830695|1099830699|1099830701|1099830703|1099830705|1099830707|1099830709|1099830711|1099830713|1099830715|1099830717|1099830719|1099830721|1099830723|1099830725|1099830727|1099830729|1099830731|1099830733|1099830735|1099830737|1099830739|1099830741|1099830743|1099830745|1099830747|1099830749|1099830751|1099830753|1099830755|1099830757|1099830759|1099830761|1099830763,VooV会议室锁定导致学生无法进入,课程运营与服务 > 在线课程运行 > 在线教室与课程接入
A,S1000-0031,STI-617068f4ec22022ace37,accepted,agree,固定VooV会议号设置,教师设置并提交固定VooV会议号，确认以后课程使用该会议号。,课程运营与服务,在线课程运行,在线教室与课程接入,课程运营与服务 > 在线课程运行 > 在线教室与课程接入,standard,13,0.13,13,1091431845|1091431847|1091431849|1091431851|1091431853|1091431855|1091431857|1091431859|1091431861|1091431863|1091431865|1091431867|1091431869,固定VooV会议号设置,课程运营与服务 > 在线课程运行 > 在线教室与课程接入
A,S1000-0031,STI-9c6cabf97f2e8aeb87f0,accepted,agree,课件查看与课前准备,教师咨询并获告知如何查看学生指定课件、提前下载课件及处理错用课件情况。,教学与课程内容,教学材料与实施,教学资料与课件,教学与课程内容 > 教学材料与实施 > 教学资料与课件,standard,15,0.15,15,1091431841|1091431843|1092719593|1092719595|1092719597|1092719599|1092719603|1092719605|1092719607|1092719609|1092719611|1092719613|1092719615|1092719617|1092719619,课件查看与课前准备,教学与课程内容 > 教学材料与实施 > 教学资料与课件
A,S1000-0031,STI-da659d05c03dbb2bd13b,accepted,agree,工资咨询转交,教师询问工资发放时间，被转交向Freja女士咨询。,,,,,short_candidate,4,0.04,4,1099830657|1099830659|1099830661|1099830663,工资咨询转交,
A,S1000-0031,STI-f99e3e3d8430b6fc74d7,accepted,agree,次日开始上课确认,双方确认从次日开始上课。,,,,,short_candidate,2,0.02,2,1091431871|1091431873,次日开始上课确认,
A,S1000-0032,STI-308213b8b061b052683d,accepted,agree,停电备用网络设备讨论,教师说明随身Wi-Fi在停电时续航不足，并讨论使用大容量充电宝等备用条件。,数字平台与技术,数字技术与访问,连接与设备故障,数字平台与技术 > 数字技术与访问 > 连接与设备故障,standard,5,0.05,5,1080389269|1080389271|1080389273|1080389277|1080389279,停电备用网络设备讨论,数字平台与技术 > 数字技术与访问 > 连接与设备故障
A,S1000-0032,STI-31455d5011bfc1705650,accepted,agree,学生未进入课堂情况反馈,教师多次反馈学生未进入课堂，群内同步学生到课状态并处理教室异常询问。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,24,0.24,24,1081401307|1082525813|1082525829|1082525831|1083815809|1086386681|1087639195|1087639199|1089804737|1090996349|1090996351|1090996353|1090996355|1090996357|1092299085|1092299087|1092299089|1094929961|1094929963|1094929965|1094929967|1094929969|1094929971|1094929973,学生未进入课堂情况反馈,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0032,STI-375cfae98286fd047497,accepted,agree,停电导致课程改期,教师因停电申请调整课程，群内确认取消、改期及恢复供电后的安排。,课程运营与服务,课程排期与出勤,课程变更与补课,课程运营与服务 > 课程排期与出勤 > 课程变更与补课,standard,15,0.15,15,1080389243|1080389245|1080389247|1080389249|1080389251|1080389253|1080389255|1080389257|1080389259|1080389261|1080389263|1080389265|1080389267|1086386677|1086386679,停电导致课程改期,课程运营与服务 > 课程排期与出勤 > 课程变更与补课
A,S1000-0032,STI-5f8356b3e2f1c8da5537,accepted,agree,临时课程改期与增课,群内协调多名学生的临时上课时间、改期、增课和提前上课请求。,课程运营与服务,课程排期与出勤,课程变更与补课,课程运营与服务 > 课程排期与出勤 > 课程变更与补课,standard,21,0.21,21,1082525817|1082525819|1082525821|1082525823|1082525825|1082525827|1090996333|1090996335|1090996337|1090996339|1090996341|1090996343|1090996345|1090996347|1094929975|1094929977|1096217993|1096217995|1096217997|1096217999|1096218001,临时课程改期与增课,课程运营与服务 > 课程排期与出勤 > 课程变更与补课
A,S1000-0032,STI-d141723b2b77e23dc210,accepted,agree,教师迟到后的上课安排,群内提醒教师迟到，并在教师说明睡过头后确认仍可安排上课。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,15,0.15,15,1081401281|1081401283|1090996307|1090996309|1090996311|1090996313|1090996315|1090996317|1090996319|1090996321|1090996323|1090996325|1090996327|1090996329|1090996331,教师迟到后的上课安排,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0032,STI-ee0fd222926172d925c0,accepted,agree,每日早上八点半课程安排,群内为学生安排每日早上八点半课程，并确认教师查看课表和按时上课。,课程运营与服务,课程排期与出勤,课程变更与补课,课程运营与服务 > 课程排期与出勤 > 课程变更与补课,standard,16,0.16,16,1081401281|1081401283|1081401285|1081401287|1081401289|1081401291|1081401293|1081401295|1081401297|1081401299|1081401301|1081401303|1081401305|1081401307|1081401309|1081401311,每日早上八点半课程安排,课程运营与服务 > 课程排期与出勤 > 课程变更与补课
A,S1000-0033,STI-1d0cc1df3654ef69f4c4,accepted,agree,短视频观看后的自我调侃,一名同学提到短暂观看短视频后关闭。,,,,,short_candidate,3,0.03,3,1088069205|1088069207|1088069211,短视频观看后的自我调侃,
A,S1000-0033,STI-9de114c0bf1b2e282a08,accepted,agree,打字速度与语音输入,同学讨论回复速度、打字习惯和使用语音输入的情况。,数字平台与技术,数字技术与访问,应用与设备使用,数字平台与技术 > 数字技术与访问 > 应用与设备使用,standard,13,0.13,13,1088069175|1088069177|1088069179|1088069181|1088069183|1088069185|1088069187|1088069189|1088069191|1088069193|1088069195|1088069197|1088069199,打字速度与语音输入,数字平台与技术 > 数字技术与访问 > 应用与设备使用
